seed,return,length,early_term,ey_rms,epsi_rms,theta_rms,theta_max,theta_dot_rms,control_energy,u_lqr_mean,u_lqr_max,u_stanley_mean,u_stanley_max,u_total_mean,u_total_max
0,58.240224220062665,1500,False,3.0141777672440684,1.2253300243729761,1.5359533199304711,1.57,4.235559382191509,7058.184205636922,0.0,0.0,0.3768010738215434,2.0112352300697736,77.48713327327916,262.94956299689346
1,78.89321440257405,1500,False,2.9693608337863835,1.1268888942648012,1.52910058553811,1.57,3.9877951757686567,6448.719093829841,0.0,0.0,0.32222688995649906,1.9922325783580577,74.30902628063393,255.11371196623494
2,-19.740251657810607,387,True,3.0957807283903374,1.6130703867086709,1.4295850354616555,1.57,3.927675987078724,7591.9839658340825,0.0,0.0,0.7153131887110051,1.9659608585363366,68.485658825638,262.2798327689625
3,-19.87424791407383,384,True,3.1164565950550807,1.6241408783546332,1.4395939006214384,1.57,4.016344748230788,7786.596345602841,0.0,0.0,0.7231775473727806,1.986221668000082,70.09588592165362,263.425954788891
4,-14.05135892349617,380,True,2.8087065170658545,1.4629422794347438,1.2933617231858485,1.57,3.3596959827873123,5985.870782575351,0.0,0.0,0.6005979304603742,1.9595199608195957,54.37036362392486,259.97976426712324
5,76.27779132264119,1500,False,2.9790594234822585,1.1346794725768057,1.5279339414972135,1.57,4.03365681409146,6500.241925831089,0.0,0.0,0.3244869996384992,1.9864509583480279,74.62422165309442,256.51187579195386
6,60.265032165733935,1500,False,3.0194149245279696,1.2199216132113233,1.522885367944939,1.57,4.167339398280216,6891.189789918343,0.0,0.0,0.3758316336449659,2.015409163149289,75.81796639198222,261.3941821698438
7,-10.241888924100703,288,True,2.866462814324675,1.4456462298891577,1.2815710670379978,1.57,2.940798567671149,5171.417107325953,0.0,0.0,0.6109778269436139,1.9569846359748067,48.81661879573679,256.0240155632203
8,-8.13749535554954,330,True,2.6911656227018383,1.3470592788671587,1.1953473886421617,1.57,2.717161438999998,4495.387088864483,0.0,0.0,0.530744351065839,1.948017499701476,42.537147294511804,255.3471250296285
9,58.28527958638621,1500,False,3.0234981993820056,1.2240497693473784,1.5269814110440976,1.57,4.19855270582907,6973.178185476715,0.0,0.0,0.37634676550774027,2.017711226694212,76.55144570431025,262.29135735815447
10,54.20203934989427,1500,False,2.9888635684313596,1.2264627206106145,1.5168189025599306,1.57,4.192657701428118,6933.418080409812,0.0,0.0,0.3731897781804146,2.005031277284343,75.83774189723569,262.8278216626039
11,-16.300263895519,327,True,3.070982748901049,1.5706566179582504,1.392330182899754,1.57,3.6246910113250714,6765.310427394163,0.0,0.0,0.6932434760437861,1.962295631792168,62.19430970273682,260.0955421349259
