step,theta,theta_dot,target_theta,tracking_err,u_lqr,epsilon,action,reward
85,0.007013065311324234,2.7397975760450506e-05,0.0,0.007013065311324234,0.4669351927083581,-0.5,-32.143035888671875,0.08597152552119454
86,0.007013940876640992,2.4630121881878626e-05,0.0,0.007013940876640992,0.46693738603688817,-0.5,-32.14315414428711,0.08597001117530717
87,0.007014727988326128,2.2141855266533265e-05,0.0,0.007014727988326128,0.466939359862391,-0.5,-32.14326095581055,0.08596864981889929
88,0.007015435581486343,1.9904948069481802e-05,0.0,0.007015435581486343,0.4669411359617159,-0.5,-32.14335632324219,0.08596742599646363
89,0.007016071689064103,1.789401866018284e-05,0.0,0.007016071689064103,0.4669427339435591,-0.5,-32.1434440612793,0.08596632581336103
90,0.007016643532811954,1.6086245304763046e-05,0.0,0.007016643532811954,0.4669441714802724,-0.5,-32.143524169921875,0.08596533677836302
91,0.007017157605114844,1.4461108615486989e-05,0.0,0.007017157605114844,0.4669454645087521,-0.5,-32.143592834472656,0.08596444766203665
92,0.007017619742579531,1.3000159847999775e-05,0.0,0.007017619742579531,0.4669466274058618,-0.5,-32.143653869628906,0.08596364836938386
93,0.00701803519221708,1.168681243781146e-05,0.0,0.00701803519221708,0.4669476731428061,-0.5,-32.14371109008789,0.0859629298253064
94,0.007018408670961275,1.0506154441128711e-05,0.0,0.007018408670961275,0.46694861342197763,-0.5,-32.143760681152344,0.0859622838716112
95,0.007018744419191219,9.444779786652697e-06,0.0,0.007018744419191219,0.46694945879908156,-0.5,-32.14380645751953,0.08596170317439829
96,0.007019046248859544,8.49063645887306e-06,0.0,0.007019046248859544,0.4669502187927417,-0.5,-32.14384841918945,0.08596118114078964
97,0.007019317586767621,7.632889923431702e-06,0.0,0.007019317586767621,0.46695090198332956,-0.5,-32.143882751464844,0.08596071184406051
98,0.007019561513475116,6.861800274526008e-06,0.0,0.007019561513475116,0.4669515161023944,-0.5,-32.143917083740234,0.08596028995632855
99,0.0070197807982826845,6.1686117357726995e-06,0.0,0.0070197807982826845,0.4669520681137811,-0.5,-32.14394760131836,0.08595991068804028
100,0.006782645067099495,-0.02231500486558753,-0.05817178589192784,0.06495443095902734,6.5120342046258965,-0.5,-32.14397430419922,0.08555609535370483
101,0.0056566128868514075,-0.05264419575388716,-0.05817178589192784,0.06382839877877924,2.4148548402996175,-0.5,-38.389892578125,0.08718059661885093
102,0.003495493037070747,-0.08314696592009385,-0.05817178589192784,0.061667278928998585,0.1872837875706888,-0.5,-39.2868537902832,0.09101278547963448
103,0.0003598610385745143,-0.1096118493892274,-0.05817178589192784,0.058531646930502355,-0.9131536759679685,-0.5,-40.18147277832031,0.09693531745188584
104,-0.0035836341404362126,-0.13011244708812372,-0.05817178589192784,0.05458815175149163,-1.340311675899764,-0.5,-40.91389465332031,0.09027060454373212
105,-0.008125431399756336,-0.14413417728919398,-0.05817178589192784,0.050046354492171506,-1.3758256805189706,-0.5,-41.37757873535156,0.08108422559534775
106,-0.013051561050639558,-0.15199693012511697,-0.05817178589192784,0.04512022484128828,-1.1961549435617675,-0.5,-41.64525604248047,0.07122316104334826
107,-0.018165799363747775,-0.15447231546914467,-0.05817178589192784,0.04000598652818006,-0.9119473844521465,-0.5,-41.69013595581055,0.061059023812155444
108,-0.023301003971584827,-0.15253242036794235,-0.05817178589192784,0.034870781920343014,-0.5917389354377287,-0.5,-41.56971740722656,0.05090657564627028
109,-0.028323401303395595,-0.14718914495707522,-0.05817178589192784,0.029848384588532246,-0.2766516167093784,-0.5,-41.3321533203125,0.041016137477165815
110,-0.033132436811589734,-0.13939645754658525,-0.05817178589192784,0.025039349080338107,0.010197162289690233,-0.5,-41.01211166381836,0.031574339007685415
111,-0.03765800268283459,-0.12999622056542512,-0.05817178589192784,0.02051378320909325,0.25748812299791823,-0.5,-40.63314437866211,0.022709749477304433
112,-0.04185629444709568,-0.11969371785340004,-0.05817178589192784,0.01631549144483216,0.4615062144831006,-0.5,-40.220314025878906,0.014501016977399736
113,-0.04570514134217605,-0.10905281494519717,-0.05817178589192784,0.012466644549751792,0.6232631218266732,-0.5,-39.797149658203125,0.006985923463468421
114,-0.04919935953040818,-0.09850343710214116,-0.05817178589192784,0.00897242636151966,0.7465142570689044,-0.5,-39.37523651123047,0.00017032727230871514
115,-0.05234646288027717,-0.08835610434566221,-0.05817178589192784,0.005825323011650674,0.8364026562767386,-0.5,-38.96776580810547,-0.10596362762796846
116,-0.055162912873875425,-0.07881981999184264,-0.05817178589192784,0.003008873018052416,0.8985513430281418,-0.5,-38.58326721191406,-0.11145036675374473
117,-0.05767098259670865,-0.07002079276718508,-0.05817178589192784,0.0005008032952191904,0.9384793309005635,-0.5,-38.216094970703125,-0.11633493510894333
118,-0.059896238484325404,-0.06202036505259061,-0.05817178589192784,0.0017244525923975629,0.9612505201270187,-0.5,-37.87971115112305,-0.1241171445184587
119,-0.06186559871132807,-0.05483118141582307,-0.05817178589192784,0.003693812819400226,0.9712878374118621,-0.5,-37.5805778503418,-0.12844211672044994
120,-0.06360590178918915,-0.04843110962354938,-0.05817178589192784,0.00543411589726131,0.9723015999865106,-0.5,-37.31135177612305,-0.13137366213741686
121,-0.06514290751415905,-0.04277475953752263,-0.05817178589192784,0.006971121622231208,0.9672936507584062,-0.5,-37.07209777832031,-0.13396155873016413
122,-0.06650065049951276,-0.03780266608680758,-0.05817178589192784,0.008328864607584918,0.9586085945438529,-0.5,-36.86069107055664,-0.1362491772887196
123,-0.06770107076662722,-0.03344833794658429,-0.05817178589192784,0.009529284874699381,0.9480111823517207,-0.5,-36.67462921142578,-0.13827497869769811
124,-0.06876385372390822,-0.02964344603243836,-0.05817178589192784,0.010592067831980384,0.9367749754739157,-0.5,-36.511314392089844,-0.1400726627067194
125,-0.06970642148696717,-0.02632145362046431,-0.05817178589192784,0.011534635595039325,0.9257721695939557,-0.5,-36.3681526184082,-0.14167148341801647
126,-0.07054402759799527,-0.023419987268062728,-0.05817178589192784,0.012372241706067433,0.915558098985657,-0.5,-36.24267578125,-0.14309666067042182
127,-0.07128991693363981,-0.020882225908190256,-0.05817178589192784,0.013118131041711972,0.906446663468768,-0.5,-36.13304901123047,-0.14436983449833368
128,-0.07195552142927204,-0.018657552901963314,-0.05817178589192784,0.013783735537344202,0.8985748939033811,-0.5,-36.040008544921875,-0.14550952499927447
129,-0.07255066992090428,-0.016701678523665844,-0.05817178589192784,0.01437888402897644,0.8919562441819912,-0.5,-35.958099365234375,-0.14653157225962407
130,-0.07308379681759354,-0.01497640250643731,-0.05817178589192784,0.0149120109256657,0.8865230991677846,-0.5,-35.88578796386719,-0.1474495406571982
131,-0.07356213948926052,-0.013449150611576834,-0.05817178589192784,0.015390353597332679,0.8821595308910001,-0.5,-35.82176208496094,-0.14827507918076685
132,-0.07399191828436738,-0.012092387293887298,-0.05817178589192784,0.01582013239243954,0.878725613732553,-0.5,-35.764888763427734,-0.14901823472853598
133,-0.07437849611711903,-0.01088297919117696,-0.05817178589192784,0.016206710225191184,0.8760747004399628,-0.5,-35.71422576904297,-0.14968771902654854
134,-0.07472651674041043,-0.009801561560937411,-0.05817178589192784,0.016554730848482593,0.874065026113035,-0.5,-35.66896057128906,-0.15029113218215914
135,-0.07504002230506401,-0.008831941730707287,-0.05817178589192784,0.016868236413136173,0.8725668943251356,-0.5,-35.628414154052734,-0.150835147261317
136,-0.07532255174455027,-0.007960559696608147,-0.05817178589192784,0.01715076585262243,0.8714665439015704,-0.5,-35.592018127441406,-0.1513256609134172
137,-0.07557722204786872,-0.007176015651118713,-0.05817178589192784,0.01740543615594088,0.8706676221728499,-0.5,-35.55928421020508,-0.15176791518161184
138,-0.07580679470312664,-0.006468666858398434,-0.05817178589192784,0.017635008811198796,0.8700910183037962,-0.5,-35.529808044433594,-0.15216659540443112
139,-0.07601372960255125,-0.005830291347341617,-0.05817178589192784,0.017841943710623406,0.8696736497915107,-0.5,-35.50322723388672,-0.1525259086718942
140,-0.07620022856949132,-0.005253812828761902,-0.05817178589192784,0.018028442677563483,0.8693666528541579,-0.5,-35.479248046875,-0.15284964674736082
141,-0.07636827045582541,-0.004733079597878059,-0.05817178589192784,0.018196484563897566,0.8691333061259903,-0.5,-35.45760726928711,-0.1531412367778788
142,-0.07651963950593638,-0.004262689563051743,-0.05817178589192784,0.018347853614008536,0.8689469173202043,-0.5,-35.438072204589844,-0.1534037825401363
143,-0.07665594842072238,-0.003837853625435867,-0.05817178589192784,0.018484162528794534,0.8687888232092797,-0.5,-35.420433044433594,-0.15364009843750254
144,-0.0767786573018979,-0.0034542901685657786,-0.05817178589192784,0.018606871409970055,0.868646592338713,-0.5,-35.404518127441406,-0.1538527379933996
145,-0.07688908942538011,-0.00310814420904712,-0.05817178589192784,0.018717303533452273,0.8685124747937868,-0.5,-35.390159606933594,-0.1540440181846948
146,-0.0769884445894276,-0.0027959256680080624,-0.05817178589192784,0.018816658697499752,0.8683821114025465,-0.5,-35.37721252441406,-0.1542160406263031
147,-0.07707781061084425,-0.0025144621490369706,-0.05817178589192784,0.018906024718916406,0.8682534933901922,-0.5,-35.36553955078125,-0.154370710350557
148,-0.07715817340061311,-0.002260862486945291,-0.05817178589192784,0.018986387508685268,0.8681261503387513,-0.5,-35.35502243041992,-0.15450975271534234
149,-0.07723042593661147,-0.00203248812399622,-0.05817178589192784,0.019058640044683633,0.8680005372898705,-0.5,-35.345550537109375,-0.15463472881542112
