episode,steps,avg_tilt_error,std_tilt_error,max_tilt_error,avg_angular_vel,std_angular_vel,reward
0,1000,0.02088864096857803,0.01074449700738894,0.03714214162385947,0.009320569267380265,0.01894819989500669,63.91658165789858
1,1000,0.01898087361033312,0.01034061492506038,0.03725056262275053,0.006773143389025673,0.015111909195796183,67.9454894957523
2,1000,0.019209405089785466,0.009515313898833802,0.033256645308301754,0.004729501464663282,0.01137207409804076,66.48042577383579
3,1000,0.01642945224367966,0.01062193652603568,0.038192265330489895,0.006431743868320581,0.014698591043411651,74.7520815157919
4,1000,0.014165063087841288,0.009484130803560902,0.0466819745598115,0.00447679486124588,0.01161017149795858,78.83266083747591
5,1000,0.01972649214421,0.012966794183366593,0.04043420910870257,0.007319864358179554,0.015892244933062887,70.05561542889747
6,1000,0.03009358142525285,0.01682773440441043,0.0561300982158637,0.011801057483360659,0.0258817205089925,41.563926600292696
7,1000,0.03216867012786623,0.023554812666810223,0.08005508494419722,0.013225523085861229,0.027180623803067572,40.72307384008106
8,1000,0.03290409000589529,0.02397226850966696,0.07344083016755844,0.015177259797668683,0.037441688146782205,37.51865791066126
9,1000,0.02442189167195932,0.015099094010376493,0.05118987900251354,0.009900033353408583,0.020045788487726365,55.04446227676105
10,1000,0.02048754662322135,0.013627333911721707,0.0526395442834163,0.00709016443997076,0.018752055007628023,62.21180963205378
11,1000,0.021313054543436443,0.014468430746556524,0.05515332253641413,0.008283652894976233,0.019869643500502968,61.060285658191496
12,1000,0.03661577714741719,0.026933773294596827,0.10060925484682028,0.011129436194514718,0.02450837791744407,38.97277743015506
13,1000,0.0352670749111905,0.022991379256880367,0.08757569791540813,0.014964680778549271,0.03492031638193668,36.6854906532361
14,1000,0.03843824039818125,0.027187400602111198,0.08824743161526694,0.014507789715887516,0.03552989022596877,27.33325657605156
15,1000,0.036376320953695425,0.02367812836112013,0.08845239823764826,0.014143717701543412,0.0292289992881527,34.0583432468893
16,1000,0.029525724479676094,0.01836982836452124,0.061543476671321665,0.01367782135498962,0.02739701492814899,38.493386312320176
17,1000,0.04727143306533039,0.03290798082578629,0.10886559764080578,0.012204086385520636,0.027384015537963283,3.225429975484749
18,1000,0.03073241639570998,0.020485325938034087,0.06938321013916214,0.008991567945282962,0.01993806806342893,43.58260151494392
19,1000,0.06561971684352215,0.04025181150734715,0.13085130506026652,0.017009845221553136,0.03425157827046687,-47.81404523617766
20,1000,0.06521794315909828,0.03886077167272418,0.14461051511910478,0.015463514809912014,0.03831748423935068,-44.76890389943879
21,1000,0.05280702045945603,0.03462878571285384,0.09748734022872517,0.02208876879730459,0.04776724965176771,-22.769028046277654
22,1000,0.06026220070569872,0.0335809145071984,0.10417218952215546,0.01720764402943242,0.038261805414088204,-47.99383980327014
23,1000,0.07841157793737409,0.0453564595592202,0.14213688930619064,0.032644422560031694,0.07579705898399916,-85.27824791723332
24,1000,0.08541455722267083,0.04393347425431353,0.14329686127246666,0.029934080975941996,0.0649918051431906,-115.15318103203916
25,1000,0.11222248329853898,0.06373027246783927,0.1983042906737171,0.03896086761909842,0.09136243026896529,-151.72524497416617
