tilt_error_rad,angular_velocity_rad_s
0.32154768622185,0.13871886974312542
0.3137893536244694,0.11980358839726361
0.3183111479309451,0.06420712408285899
0.26963194228042064,0.10825833704771821
0.22829060648557706,0.053996287347968394
0.24956043056951518,0.0835897640796864
0.3064095256949077,0.09174938442180229
0.2374363478124273,0.0992004576640436
0.23660759933290165,0.11511291726871693
0.2506973966584549,0.08644449300590001
0.21362487514623482,0.06705492689751537
0.206464402051848,0.07553729466257281
0.2432814414287991,0.07490899777207195
0.25383077940802523,0.10888341510304789
0.22470451226450702,0.1040583704018535
0.2501042519361283,0.0954519322255186
0.21883651715765387,0.09937891398621937
0.24009011913677358,0.06555429820108771
0.20319751788624582,0.05623652121827961
0.28305938250888285,0.08590259122928592
0.2807148716639877,0.06402183936074954
0.24454796416674687,0.1010157772703638
0.27114805707107814,0.06554368946730983
0.2757988074220208,0.11155983978950897
0.3055774468831184,0.09379624354040171
0.2895380593263919,0.1025760740947835
0.20823948597753772,0.062049011563091505
0.2550117719447816,0.09289513584360531
0.2233304823965669,0.07688814924589735
0.2500291950211065,0.07129660361223461
0.30263609425437166,0.0930306836286955
0.2215442303121887,0.06746549050238462
0.2829219143186108,0.14349832281138317
0.19357653036332056,0.08023906909001471
0.20330344388541885,0.06381585119360685
0.2846446681582751,0.14702288185211734
0.23647089496584348,0.08572862081061654
0.2812886976338576,0.09088327742664183
0.2757151815788252,0.08729958189020733
0.2758398982080224,0.09877404601691285
0.27296882873995537,0.0979268821316669
0.2706281038330633,0.054601972790587816
0.2694511520691929,0.06019187163850019
0.251566221994765,0.09728440372080989
0.31793290517401435,0.05831151155673077
0.23603339623707786,0.07675096427782746
0.26920632126122623,0.11020408226108276
0.32010803750879396,0.10382848499713339
0.2808215657314149,0.1159467362284044
0.24896118271855153,0.05171300149049563
