model,horizon,state,unit,mae_mean,mae_std,n_seeds,first_exceed_1sigma,first_exceed_2sigma,first_exceed_3sigma,endpoint_error_mean,requested_horizon,actual_survival_steps
gp_b4_sparse,10,phi_dot,rad/s,0.013953,0.026664,5,NaN,NaN,NaN,0.018067,10,10
gp_b4_sparse,10,delta_dot,rad/s,0.696620,1.384390,5,3.0,4.0,4.0,1.510526,10,10
gp_b4_sparse,50,phi,rad,0.008214,0.009652,5,NaN,NaN,NaN,0.015049,50,50
gp_b4_sparse,50,delta,rad,0.058101,0.109027,5,15.0,30.0,NaN,0.108692,50,50
gp_b4_sparse,50,phi_dot,rad/s,0.071541,0.127449,5,NaN,NaN,NaN,0.158342,50,50
gp_b4_sparse,50,delta_dot,rad/s,2.971070,5.920946,5,3.0,4.0,4.0,5.743484,50,50
gp_b4_sparse,100,phi,rad,0.036085,0.024842,5,NaN,NaN,NaN,0.128290,100,100
gp_b4_sparse,100,delta,rad,0.118087,0.180212,5,54.5,30.0,53.0,0.300656,100,100
gp_b4_sparse,100,phi_dot,rad/s,0.178361,0.253700,5,84.0,NaN,NaN,0.455308,100,100
gp_b4_sparse,100,delta_dot,rad/s,5.755174,11.379296,5,3.0,4.0,4.0,11.385757,100,100
gp_b4_sparse,500,phi,rad,0.539210,0.387203,5,118.8,138.4,140.5,NaN,500,500
gp_b4_sparse,500,delta,rad,0.458798,0.202056,5,85.8,113.8,148.8,NaN,500,500
gp_b4_sparse,500,phi_dot,rad/s,1.454870,0.707068,5,126.2,166.0,227.5,NaN,500,500
gp_b4_sparse,500,delta_dot,rad/s,32.016645,9.542348,5,94.4,98.6,108.4,NaN,500,500
gp_b4_sparse,1000,phi,rad,0.539210,0.387203,5,118.8,138.4,140.5,NaN,1000,1000
gp_b4_sparse,1000,delta,rad,0.458798,0.202056,5,85.8,113.8,148.8,NaN,1000,1000
gp_b4_sparse,1000,phi_dot,rad/s,1.454870,0.707068,5,126.2,166.0,227.5,NaN,1000,1000
gp_b4_sparse,1000,delta_dot,rad/s,32.016645,9.542348,5,94.4,98.6,108.4,NaN,1000,1000
gp_ensemble_5_0,10,phi,rad,0.000000,0.000000,5,NaN,NaN,NaN,NaN,10,10
gp_ensemble_5_0,10,delta,rad,0.000000,0.000000,5,NaN,NaN,NaN,NaN,10,10
gp_ensemble_5_0,10,phi_dot,rad/s,0.000000,0.000000,5,NaN,NaN,NaN,NaN,10,10
gp_ensemble_5_0,10,delta_dot,rad/s,0.000000,0.000000,5,NaN,NaN,NaN,NaN,10,10
