model,horizon,state,state_mae_mean,state_mae_std
gp_ensemble_7_5,100,phi,nan,nan
gp_ensemble_7_5,100,delta,nan,nan
gp_ensemble_7_5,100,phi_dot,nan,nan
gp_ensemble_7_5,100,delta_dot,nan,nan
gp_ensemble_7_5,500,phi,nan,nan
gp_ensemble_7_5,500,delta,nan,nan
gp_ensemble_7_5,500,phi_dot,nan,nan
gp_ensemble_7_5,500,delta_dot,nan,nan
gp_ensemble_7_5,1000,phi,nan,nan
gp_ensemble_7_5,1000,delta,nan,nan
gp_ensemble_7_5,1000,phi_dot,nan,nan
gp_ensemble_7_5,1000,delta_dot,nan,nan
